"Papers","Author","Areas","ORCID","Name_Variants"
"8","Charles M. Harvey","","","Charles M. Harvey"
"8","David V. Budescu","behavioral economics, decision analysis","","David V. Budescu"
"8","Thomas L. Magnanti","operations management, optimization, special section of management science: 65th anniversary","0000-0002-0771-3850","Thomas L. Magnanti; Thomas Magnanti"
"8","Sven Axsäter","","","Sven Axsäter"
"8","Gregory W. Fischer","operations management","","Gregory W. Fischer; Gregory M. Fischer"
"8","David B. Brown","decision analysis, optimization, revenue management and market analytics","0000-0002-5458-9098","David B. Brown; David P. Brown"
"8","Patrick T. Harker","","","Patrick T. Harker"
"8","Linda Argote","operations management, special section of management science: 65th anniversary","0000-0002-4149-6968","Linda Argote"
"8","Kut C. So","","","Kut C. So"
"8","Barry L. Nelson","","","Barry L. Nelson"
"8","Sunder Kekre","","","Sunder Kekre"
"8","Pierre L'Ecuyer","","","Pierre L'Ecuyer"
"8","Andreas Drexl","","","Andreas Drexl"
"8","Kevin B. Hendricks","operations management","","Kevin B. Hendricks"
"8","Tridas Mukhopadhyay","","","Tridas Mukhopadhyay"
"8","Jinhong Xie","marketing","0000-0001-6988-7664","Jinhong Xie"
"8","Sanjay Jain","marketing","ambiguous","Sanjay Jain"
"8","Edieal J. Pinker","operations management","0000-0001-7343-9864","Edieal J. Pinker; Edieal Pinker"
"8","Krishnan S. Anand","information systems, operations and supply chain management, operations management","0000-0002-9175-1541","Krishnan S. Anand; Krishnan Anand"
"8","Sandra A. Slaughter","","","Sandra A. Slaughter; Sandra Slaughter"
"8","Dipak C. Jain","marketing","","Dipak C. Jain; Dipak Jain"
"8","Stefan Scholtes","healthcare management, operations management","0000-0002-1493-7908","Stefan Scholtes"
"8","Karen Donohue","operations management","0000-0002-2779-6331","Karen Donohue; Karen L. Donohue"
"8","Assaf Zeevi","data science, operations management, revenue management and market analytics, stochastic models and simulation","0000-0003-1075-6664","Assaf Zeevi"
"8","Yuxin Chen","marketing","0000-0002-1318-3294","Yuxin Chen"
"8","Lingxiu Dong","operations management","0000-0001-7727-9837","Lingxiu Dong"
"8","Fernando Bernstein","operations and supply chain management, operations management","0000-0002-1013-6898","Fernando Bernstein"
"8","Jasjit Singh","behavioral economics, business strategy, entrepreneurship and innovation","0000-0002-7395-5989","Jasjit Singh"
"8","Karthik Kannan","decision analysis, information systems","0000-0002-9861-0717","Karthik Kannan; Karthik N. Kannan"
"8","Vijay Mookerjee","information systems, operations management","0000-0001-5583-3585","Vijay Mookerjee; Vijay S. Mookerjee"
"8","Peng Sun","behavioral economics and decision analysis, decision analysis, operations management, stochastic models and simulation","0000-0002-3892-5936","Peng Sun"
"8","Leon Yang Chu","business strategy, operations management","0000-0003-1512-114X","Leon Yang Chu"
"8","Terrence August","finance, information systems","0000-0002-4085-1147","Terrence August"
"8","Atalay Atasu","operations management, revenue management and market analytics","0000-0003-1572-8937","Atalay Atasu"
"8","Turan G. Bali","finance","","Turan G. Bali"
"8","Tat Y. Chan","behavioral economics and decision analysis, business strategy, marketing, operations management","0000-0001-8734-9982","Tat Y. Chan; Tat Chan"
"8","Guillaume Roels","entrepreneurship and innovation, operations management","0000-0003-3480-2135","Guillaume Roels"
"8","Hemant K. Bhargava","information systems","0000-0002-9268-2234","Hemant K. Bhargava; Hemant Bhargava"
"8","Upender Subramanian","marketing, operations management","0000-0002-5686-2895","Upender Subramanian"
"8","Guoming Lai","operations and supply chain management, operations management","0000-0003-3272-5201","Guoming Lai"
"8","Ryan W. Buell","operations management, special issue editors","0000-0002-6779-8593","Ryan W. Buell"
"8","Sinan Aral","information systems, marketing, special issue editors, special issue on business analytics","0000-0002-2762-058X","Sinan Aral"
"8","Lynn Wu","information systems, organizations, special issue on the human-algorithm connection","0000-0001-8840-9318","Lynn Wu"
"8","Francesca Gino","behavioral economics, judgment and decision making, operations management, organizations","0000-0002-9794-482X","Francesca Gino"
"8","Jordan Tong","judgment and decision making, operations management, special issue on the human-algorithm connection","0000-0002-1962-058X","Jordan Tong; Jordan D. Tong"
"8","Andrei Hagiu","business strategy, marketing","0000-0001-8161-5389","Andrei Hagiu"
"8","Dan A. Iancu","operations management, optimization, stochastic models and simulation","0000-0001-9890-0928","Dan A. Iancu; Dan Andrei Iancu; Dan Iancu"
"8","Min Dai","finance, special issue on ai for finance and business decisions. funding: m. dai was supported by the hong kong research grants council [15212324, 15217123, 15213422, and","0000-0002-8270-9413","Min Dai"
"8","Steven Kou","finance, optimization","0000-0003-4457-8384","Steven Kou"
"8","Luyi Yang","operations management, stochastic models and simulation","0000-0002-5370-6926","Luyi Yang"
"8","Shouqiang Wang","behavioral economics and decision analysis, decision analysis, healthcare management, marketing, operations management, revenue management and market analytics","0000-0002-0988-7010","Shouqiang Wang"
"8","Ningyuan Chen","operations management, optimization, optimization and decision analytics, revenue management and market analytics","0000-0002-3948-1011","Ningyuan Chen"
"8","John J. Horton","business strategy, information systems, marketing, operations management, revenue management and market analytics","0000-0001-5426-0156","John J. Horton; John Horton; John Joseph Horton"
"7","Frederick S. Hillier","","","Frederick S. Hillier"
"7","Arthur F. Veinott","","","Arthur F. Veinott"
"7","Donald Gross","","","Donald Gross"
"7","Egon Balas","","","Egon Balas"
"7","Robert Wilson","","","Robert Wilson; Robert B. Wilson"
"7","Roger C. Vergin","","","Roger C. Vergin"
"7","Norman R. Baker","","","Norman R. Baker; Norman Baker"
"7","Edwin J. Elton","","","Edwin J. Elton"
"7","Steven A. Lippman","","","Steven A. Lippman"
"7","Jeremy F. Shapiro","finance","","Jeremy F. Shapiro; Jeremy Shapiro"
"7","Morris Hamburg","","","Morris Hamburg"
"7","Glen L. Urban","special issue on business analytics","","Glen L. Urban"
"7","Donald Gerwin","","","Donald Gerwin"
