"Papers","Author","Areas","ORCID","Name_Variants"
"1","Bryan R. Routledge","","","Bryan R. Routledge"
"1","Nicholas J. Barrowman","","","Nicholas J. Barrowman"
"1","Michael T. Pich","","","Michael T. Pich"
"1","Kathleen Searls","","","Kathleen Searls"
"1","Mary Sonnack","","","Mary Sonnack"
"1","Daniel Solow","","","Daniel Solow"
"1","Sandy Kristin Piderit","","","Sandy Kristin Piderit"
"1","Ming-chi Tsai","","","Ming-chi Tsai"
"1","Moshe Leshno","","","Moshe Leshno"
"1","Hubert Gatignon","","","Hubert Gatignon"
"1","Wendy Smith","","","Wendy Smith"
"1","Philip Anderson","","","Philip Anderson"
"1","J. M. Betts","","","J. M. Betts"
"1","R. B. Johnston","","","R. B. Johnston"
"1","Jonathan D. Bohlmann","","","Jonathan D. Bohlmann"
"1","Peter N. Golder","","","Peter N. Golder"
"1","Alex O. Brown","","","Alex O. Brown"
"1","André Bonfrer","","","André Bonfrer"
"1","Kathy A. Paulson Gjerde","","","Kathy A. Paulson Gjerde"
"1","Susan A. Slotnick","","","Susan A. Slotnick"
"1","Stephen J. Mezias","","","Stephen J. Mezias"
"1","Ya-Ru Chen","","","Ya-Ru Chen"
"1","Patrice R. Murphy","","","Patrice R. Murphy"
"1","Ying Li","","","Ying Li"
"1","Jody Hoffer Gittell","","","Jody Hoffer Gittell"
"1","Soon Ang","","","Soon Ang"
"1","Kok Yee Ng","","","Kok Yee Ng"
"1","Kilsun Kim","","","Kilsun Kim"
"1","Tal Simons","","","Tal Simons"
"1","Richard M. Anderson","","","Richard M. Anderson"
"1","Benjamin F. Hobbs","","","Benjamin F. Hobbs"
"1","Natalie M. Steiger","","","Natalie M. Steiger"
"1","Thomas Erlebach","","","Thomas Erlebach"
"1","Hans Kellerer","","","Hans Kellerer"
"1","Ulrich Pferschy","","","Ulrich Pferschy"
"1","Jun. Ma","","","Jun. Ma"
"1","Wanhua. Qiu","","","Wanhua. Qiu"
"1","Wei-yu Kevin Chiang","","","Wei-yu Kevin Chiang"
"1","Manju K. Ahuja","","","Manju K. Ahuja"
"1","Dennis F. Galletta","","","Dennis F. Galletta"
"1","Patricia Vidal","","","Patricia Vidal"
"1","Robert E. Ployhart","","","Robert E. Ployhart"
"1","Alexandre Marangoni","","","Alexandre Marangoni"
"1","Carlos Zozaya-Gorostiza","","","Carlos Zozaya-Gorostiza"
"1","Yuhong Fu","","","Yuhong Fu"
"1","Veli-Pekka Heikkinen","","","Veli-Pekka Heikkinen"
"1","T. S. Raghu","","","T. S. Raghu"
"1","P. K. Sen","","","P. K. Sen"
"1","H. R. Rao","","","H. R. Rao"
"1","Jonathan Lee","","","Jonathan Lee"
"1","Xiaoping Xiong","","","Xiaoping Xiong"
"1","Rajiv Kohli","","","Rajiv Kohli"
"1","Rudy Setiono","","","Rudy Setiono"
"1","Christophe Mues","","","Christophe Mues"
"1","Jan Vanthienen","","","Jan Vanthienen"
"1","Andreas S. Schulz","","","Andreas S. Schulz"
"1","Frederik Stork","","","Frederik Stork"
"1","Marc Uetz","","","Marc Uetz"
"1","Jaeyong Song","","","Jaeyong Song"
"1","Geraldine Wu","","","Geraldine Wu"
"1","Michelle Gittelman","","","Michelle Gittelman"
"1","Ryon Lancaster","","","Ryon Lancaster"
"1","Amit Das","","","Amit Das"
"1","Stephen P. Borgatti","","","Stephen P. Borgatti"
"1","Melissa C. Thomas-Hunt","","","Melissa C. Thomas-Hunt"
"1","Tonya Y. Ogden","","","Tonya Y. Ogden"
"1","Margaret A. Neale","","","Margaret A. Neale"
"1","Wesley David Sine","","","Wesley David Sine"
"1","Dante Di Gregorio","","","Dante Di Gregorio"
"1","Mary E. Zellmer-Bruhn","","","Mary E. Zellmer-Bruhn"
"1","Janice Nadler","","","Janice Nadler"
"1","Leaf Van Boven","","","Leaf Van Boven"
"1","Habin Lee","","","Habin Lee"
"1","Kathleen L. McGinn","","","Kathleen L. McGinn"
"1","Ivo Welch","","","Ivo Welch"
"1","Thierry Fouque","","","Thierry Fouque"
"1","Peter H. Kim","","","Peter H. Kim"
"1","Christian Haxholdt","","","Christian Haxholdt"
"1","Nirup M. Menon","","","Nirup M. Menon"
"1","Sada Soorapanth","","","Sada Soorapanth"
"1","James S. Koopman","","","James S. Koopman"
"1","Ioulia D. Ioffe","","","Ioulia D. Ioffe"
"1","Zhengping Wu","","","Zhengping Wu"
"1","Yuval Deutsch","","","Yuval Deutsch"
"1","Thomas W. Ross","","","Thomas W. Ross"
"1","Constantinos Maglaras","","","Constantinos Maglaras"
"1","Christopher Suerie","","","Christopher Suerie"
"1","Yusaku Yamamoto","","","Yusaku Yamamoto"
"1","Shu-Ming Ng","","","Shu-Ming Ng"
"1","Eric Logan Huggins","","","Eric Logan Huggins"
"1","Paul R. Carlile","","","Paul R. Carlile"
"1","Eric S. Rebentisch","","","Eric S. Rebentisch"
"1","Andrew John","","","Andrew John"
"1","Jill Klein","","","Jill Klein"
"1","Alfredo Ibáñez","","","Alfredo Ibáñez"
"1","Dilip Soman","","","Dilip Soman"
"1","Keely L. Croxton","","","Keely L. Croxton"
"1","Pınar Keskinocak","","","Pınar Keskinocak"
"1","Alexander Tuzhilin","","","Alexander Tuzhilin"
"1","B. P. S. Murthi","","","B. P. S. Murthi"
"1","E. Andrew Boyd","","","E. Andrew Boyd"
"1","Ioana C. Bilegan","","","Ioana C. Bilegan"
"1","Kaushik Dutta","","","Kaushik Dutta"
"1","Helen Thomas","","","Helen Thomas"
"1","Debra VanderMeer","","","Debra VanderMeer"
"1","Yaniv Vakrat","","","Yaniv Vakrat"
"1","Eli M. Snir","","","Eli M. Snir"
"1","Ravi Aron","","","Ravi Aron"
"1","Chip Heath","","","Chip Heath"
"1","Konduru Sivaramakrishnan","","","Konduru Sivaramakrishnan"
"1","Sue Birley","","","Sue Birley"
"1","Selcen (Pamuk) Phelps","","","Selcen (Pamuk) Phelps"
"1","Shaohui Zheng","","","Shaohui Zheng"
"1","Robert Shoemaker","","","Robert Shoemaker"
"1","Skander Essegaier","","","Skander Essegaier"
"1","Sunil Chopra","","","Sunil Chopra"
"1","Zuo-Jun Shen","","","Zuo-Jun Shen"
"1","Akhtar Siddique","","","Akhtar Siddique"
"1","Eylem Tekin","","","Eylem Tekin"
"1","Yalçin Akçay","","","Yalçin Akçay"
"1","Brian Rodrigues","","","Brian Rodrigues"
"1","Xingwen Zhang","","","Xingwen Zhang"
"1","Lynne P. Cooper","","","Lynne P. Cooper"
"1","Olivia E. Neece","","","Olivia E. Neece"
"1","Karen B. Clay","","","Karen B. Clay"
"1","Francesca Carrieri","","","Francesca Carrieri"
"1","Vihang Errunza","","","Vihang Errunza"
"1","Sergei Sarkissian","","","Sergei Sarkissian"
"1","Brian G. Kingsman","","","Brian G. Kingsman"
"1","Alannah Orrison","","","Alannah Orrison"
"1","Robert J. Kauffman","","","Robert J. Kauffman"
"1","Steven Bellman","","","Steven Bellman"
"1","Gerald L. Lohse","","","Gerald L. Lohse"
"1","Rosemary T. Berger","","","Rosemary T. Berger"
"1","Kenneth Oliven","","","Kenneth Oliven"
"1","Jonathon N. Cummings","","","Jonathon N. Cummings"
"1","Xiaoming Liu","","","Xiaoming Liu"
"1","Giovanni Felici","","","Giovanni Felici"
"1","Claudio Gentile","","","Claudio Gentile"
"1","Irene Bertschek","","","Irene Bertschek"
"1","Susan Cohen Kulp","","","Susan Cohen Kulp"
"1","Anirvan Banerji","","","Anirvan Banerji"
"1","Byung-Do Kim","","","Byung-Do Kim"
"1","Marilyn T. Lucas","","","Marilyn T. Lucas"
"1","Akhilesh Bajaj","","","Akhilesh Bajaj"
"1","Deming Zhou","","","Deming Zhou"
"1","Stephen C. Hora","","","Stephen C. Hora"
"1","Michaela Draganska","","","Michaela Draganska"
"1","Shuba Srinivasan","","","Shuba Srinivasan"
"1","Koen Pauwels","","","Koen Pauwels"
"1","Michael S. Pangburn","","","Michael S. Pangburn"
"1","Euthemia Stavrulaki","","","Euthemia Stavrulaki"
"1","Dailun Shi","","","Dailun Shi"
"1","T. Glenn Bailey","","","T. Glenn Bailey"
"1","Sarah M. Ryan","","","Sarah M. Ryan"
"1","R. K. Ahuja","","","R. K. Ahuja"
"1","J. B. Orlin","","","J. B. Orlin"
"1","S. Pallottino","","","S. Pallottino"
"1","M. P. Scaparra","","","M. P. Scaparra"
"1","M. G. Scutellà","","","M. G. Scutellà"
"1","Charles Audet","","","Charles Audet"
"1","Sébastien Le Digabel","","","Sébastien Le Digabel"
"1","Nenad Mladenović","","","Nenad Mladenović"
"1","Young U. Ryu","","","Young U. Ryu"
"1","Guglielmo Lulli","","","Guglielmo Lulli"
"1","Suvrajeet Sen","","","Suvrajeet Sen"
"1","Rosemarie Ham Ziedonis","","","Rosemarie Ham Ziedonis"
"1","Peter H. Gray","","","Peter H. Gray"
"1","Darren B. Meister","","","Darren B. Meister"
"1","P. T. de Boer","","","P. T. de Boer"
"1","D. P. Kroese","","","D. P. Kroese"
"1","R. Y. Rubinstein","","","R. Y. Rubinstein"
"1","Alexandre Deslauriers","","","Alexandre Deslauriers"
"1","Ehud I. Ronn","","","Ehud I. Ronn"
"1","Sunil Kumar","","","Sunil Kumar"
"1","Amir Parssian","","","Amir Parssian"
"1","Leslie R. Fine","","","Leslie R. Fine"
"1","Guiomar Martín-Herrán","","","Guiomar Martín-Herrán"
"1","Geoffrey A. Meester","","","Geoffrey A. Meester"
"1","Jerald S. Ault","","","Jerald S. Ault"
"1","Edward K. Baker","","","Edward K. Baker"
"1","Shawnee K. Vickery","","","Shawnee K. Vickery"
"1","Cornelia Droge","","","Cornelia Droge"
"1","Theodore P. Stank","","","Theodore P. Stank"
"1","Thomas J. Goldsby","","","Thomas J. Goldsby"
"1","Bruce S. Kossar","","","Bruce S. Kossar"
"1","Mikko Syrjänen","","","Mikko Syrjänen"
"1","Hui Wang","","","Hui Wang"
"1","Lars Stentoft","","","Lars Stentoft"
"1","Leif Andersen","","","Leif Andersen"
"1","Naoki Kishimoto","","","Naoki Kishimoto"
"1","George Kanatas","","","George Kanatas"
"1","Jianping Qi","","","Jianping Qi"
"1","Alexandre M. Baptista","","","Alexandre M. Baptista"
"1","Giovanni. Gavetti","","","Giovanni. Gavetti"
"1","Glenn MacDonald","","","Glenn MacDonald"
"1","Claude Montmarquette","","","Claude Montmarquette"
"1","Jean-Louis Rullière","","","Jean-Louis Rullière"
"1","Marie-Claire Villeval","","","Marie-Claire Villeval"
"1","Romain Zeiliger","","","Romain Zeiliger"
"1","Timo Kuosmanen","","","Timo Kuosmanen"
"1","Robert F. Easley","","","Robert F. Easley"
"1","Rafael Tenorio","","","Rafael Tenorio"
"1","Daniel Z. Levin","","","Daniel Z. Levin"
"1","Niklas Arvidsson","","","Niklas Arvidsson"
"1","Udo Zander","","","Udo Zander"
"1","Kyle Lewis","","","Kyle Lewis"
"1","Mary J. Waller","","","Mary J. Waller"
"1","Naina Gupta","","","Naina Gupta"
"1","Robert C. Giambatista","","","Robert C. Giambatista"
"1","Miriam Erez","","","Miriam Erez"
"1","Pablo Martin de Holan","","","Pablo Martin de Holan"
"1","Nelson Phillips","","","Nelson Phillips"
"1","Nahum D. Melumad","","","Nahum D. Melumad"
"1","Amir Ziv","","","Amir Ziv"
"1","Craig M. Rowles","","","Craig M. Rowles"
"1","Nadia Bhuiyan","","","Nadia Bhuiyan"
"1","Vince Thomson","","","Vince Thomson"
"1","Natalie Mizik","","","Natalie Mizik"
"1","Bernd Wagner","","","Bernd Wagner"
"1","Roger B. Myerson","","","Roger B. Myerson"
"1","V. G. Narayanan","","","V. G. Narayanan"
"1","Katharine T. Sims","","","Katharine T. Sims"
"1","Stephan Biller","","","Stephan Biller"
"1","Charles Abramson","","","Charles Abramson"
"1","Simon Gächter","","","Simon Gächter"
"1","YongSeog Kim","","","YongSeog Kim"
"1","W. Nick Street","","","W. Nick Street"
"1","Filippo Menczer","","","Filippo Menczer"
"1","Hsihui Chang","","","Hsihui Chang"
"1","Ram Natarajan","","","Ram Natarajan"
"1","George Deltas","","","George Deltas"
"1","Ritesh Saini","","","Ritesh Saini"
"1","Octavian Carare","","","Octavian Carare"
"1","Subhash Suri","","","Subhash Suri"
"1","Andrew Gilpin","","","Andrew Gilpin"
"1","Oktay Günlük","","","Oktay Günlük"
"1","Lászlo Ladányi","","","Lászlo Ladányi"
"1","Sven de Vries","","","Sven de Vries"
"1","R. H. Kwon","","","R. H. Kwon"
"1","L. H. Ungar","","","L. H. Ungar"
"1","Dave Porter","","","Dave Porter"
"1","Christine DeMartini","","","Christine DeMartini"
"1","David C. Parkes","","","David C. Parkes"
"1","Jayant Kalagnanam","","","Jayant Kalagnanam"
"1","Rachel R. Chen","","","Rachel R. Chen"
"1","Colin Campbell","","","Colin Campbell"
"1","Charles M. Kahn","","","Charles M. Kahn"
"1","Joon-Seok Kim","","","Joon-Seok Kim"
"1","Bruce N. Lehmann","","","Bruce N. Lehmann"
"1","David M. Modest","","","David M. Modest"
"1","Miguel Villas-Boas","","","Miguel Villas-Boas"
"1","Joseph G. Szmerekovsky","","","Joseph G. Szmerekovsky"
"1","Michal Penn","","","Michal Penn"
"1","Tal Raviv","","","Tal Raviv"
"1","Maxwell B. Stinchcombe","","","Maxwell B. Stinchcombe"
"1","David L. Craft","","","David L. Craft"
"1","Alexander H. Wilkins","","","Alexander H. Wilkins"
"1","Srikanth Paruchuri","","","Srikanth Paruchuri"
"1","Mark Bagnoli","","","Mark Bagnoli"
"1","Susan G. Watts","","","Susan G. Watts"
"1","Khim Yong Goh","","","Khim Yong Goh"
"1","Daria Brooks","","","Daria Brooks"
"1","Alessandro Lomi","","","Alessandro Lomi"
"1","John H. Freeman","","","John H. Freeman"
"1","Mehmet Ozbilgin","","","Mehmet Ozbilgin"
"1","Avi Giloni","","","Avi Giloni"
"1","Michael Lewis","","","Michael Lewis"
"1","Bernd Kraan","","","Bernd Kraan"
"1","Tim Bedford","","","Tim Bedford"
"1","M. Tolga Akçura","","","M. Tolga Akçura"
"1","Murray Z. Frank","","","Murray Z. Frank"
"1","Tim Baldenius","","","Tim Baldenius"
"1","María J. Montes-Sancho","","","María J. Montes-Sancho"
"1","David A. Kirsch","","","David A. Kirsch"
"1","Rajeev Dhawan","","","Rajeev Dhawan"
"1","Hélyette Geman","","","Hélyette Geman"
"1","Vu-Nhat Nguyen","","","Vu-Nhat Nguyen"
"1","Burak Kazaz","","","Burak Kazaz"
"1","Jean-Louis Goffin","","","Jean-Louis Goffin"
"1","Sean P. Willems","","","Sean P. Willems"
"1","Leonardo P. Santiago","","","Leonardo P. Santiago"
"1","Pirooz Vakili","","","Pirooz Vakili"
"1","Jaeki Song","","","Jaeki Song"
"1","Fatemeh “Mariam” Zahedi","","","Fatemeh “Mariam” Zahedi"
"1","Sally Sleeper","","","Sally Sleeper"
"1","Shane Frederick","","","Shane Frederick"
"1","Burcu Orsel","","","Burcu Orsel"
"1","Juwaria Rahman","","","Juwaria Rahman"
"1","Nolan Miller","","","Nolan Miller"
"1","Paul Resnick","","","Paul Resnick"
"1","Frank Vossmann","","","Frank Vossmann"
"1","Chan Su Park","","","Chan Su Park"
"1","Dmitri G. Markovitch","","","Dmitri G. Markovitch"
"1","Kwan Eng Wee","","","Kwan Eng Wee"
"1","Serpil Sayın","","","Serpil Sayın"
"1","Andrea Heuson","","","Andrea Heuson"
"1","Tie Su","","","Tie Su"
"1","Alok K. Bohara","","","Alok K. Bohara"
"1","Ad de Jong","","","Ad de Jong"
"1","Ko de Ruyter","","","Ko de Ruyter"
"1","Martin Wetzels","","","Martin Wetzels"
"1","Young K. Kwon","","","Young K. Kwon"
"1","Jingyi Li","","","Jingyi Li"
"1","Jaroslava Hlouskova","","","Jaroslava Hlouskova"
"1","Andreas Klose","","","Andreas Klose"
"1","Stan van Hoesel","","","Stan van Hoesel"
"1","H. Edwin Romeijn","","","H. Edwin Romeijn"
"1","Dolores Romero Morales","","","Dolores Romero Morales"
"1","Kent Andersen","","","Kent Andersen"
"1","Yanjun Li","","","Yanjun Li"
"1","Ching-Hua Chen-Ritzo","","","Ching-Hua Chen-Ritzo"
"1","Alexander Klos","","","Alexander Klos"
"1","Peter Berling","","","Peter Berling"
"1","W. Henry Chiu","","","W. Henry Chiu"
"1","Natalia Karelaia","","","Natalia Karelaia"
"1","Shanling Li","","","Shanling Li"
"1","Yuyue Song","","","Yuyue Song"
"1","Geraldo Ferrer","","","Geraldo Ferrer"
"1","Jeongwen Chiang","","","Jeongwen Chiang"
"1","Elizabeth Junqueira Durango-Cohen","","","Elizabeth Junqueira Durango-Cohen"
"1","Reinhilde Veugelers","","","Reinhilde Veugelers"
"1","Henrich R. Greve","","","Henrich R. Greve"
"1","Scott B. Laprise","","","Scott B. Laprise"
"1","Huiju Zhang","","","Huiju Zhang"
"1","Paul Nelson","","","Paul Nelson"
"1","Günter Franke","","","Günter Franke"
"1","Richard C. Stapleton","","","Richard C. Stapleton"
"1","Mathew L. A. Hayward","","","Mathew L. A. Hayward"
"1","Robert A. Lowe","","","Robert A. Lowe"
"1","Gaurab Bhardwaj","","","Gaurab Bhardwaj"
"1","John C. Camillus","","","John C. Camillus"
"1","David A. Hounshell","","","David A. Hounshell"
"1","Masako Ueda","","","Masako Ueda"
"1","Chung Yee Lee","","","Chung Yee Lee"
"1","Nikos Tsikriktsis","","","Nikos Tsikriktsis"
"1","Sudhakar V. Balachandran","","","Sudhakar V. Balachandran"
"1","Wan-Kai Pang","","","Wan-Kai Pang"
"1","Shui-Hung Hou","","","Shui-Hung Hou"
"1","James J. Cochran","","","James J. Cochran"
"1","Sriram Kannan","","","Sriram Kannan"
"1","Evelyn J. Barry","","","Evelyn J. Barry"
"1","Lior Menzly","","","Lior Menzly"
"1","Young-Choon Kim","","","Young-Choon Kim"
"1","Joon Han","","","Joon Han"
"1","Robert J. Lempert","","","Robert J. Lempert"
"1","David G. Groves","","","David G. Groves"
"1","Steven W. Popper","","","Steven W. Popper"
"1","Steve C. Bankes","","","Steve C. Bankes"
"1","Suleyman Basak","","","Suleyman Basak"
"1","Alex Shapiro","","","Alex Shapiro"
"1","Lucie Teplá","","","Lucie Teplá"
"1","Geng Cui","","","Geng Cui"
"1","Man Leung Wong","","","Man Leung Wong"
"1","Hon-Kwong Lui","","","Hon-Kwong Lui"
"1","Muhammad El-Taha","","","Muhammad El-Taha"
"1","Bacel Maddah","","","Bacel Maddah"
"1","Zhiqiang Zheng","","","Zhiqiang Zheng"
"1","Mordechai Gal-Or","","","Mordechai Gal-Or"
"1","Jerrold H. May","","","Jerrold H. May"
"1","William E. Spangler","","","William E. Spangler"
"1","Ravi Dhar","","","Ravi Dhar"
"1","Shiming Deng","","","Shiming Deng"
"1","Ashwin Aravindakshan","","","Ashwin Aravindakshan"
"1","W. Zhu","","","W. Zhu"
"1","Johnnie E. V. Johnson","","","Johnnie E. V. Johnson"
"1","Owen Jones","","","Owen Jones"
"1","Leilei Tang","","","Leilei Tang"
"1","C. Anthony Di Benedetto","","","C. Anthony Di Benedetto"
"1","Michael Song","","","Michael Song"
"1","Allen X. Zhang","","","Allen X. Zhang"
"1","Sheen X. Liu","","","Sheen X. Liu"
"1","Howard Qi","","","Howard Qi"
"1","Branko Urošević","","","Branko Urošević"
"1","Lei Shi","","","Lei Shi"
"1","Jeffrey A. Roberts","","","Jeffrey A. Roberts"
"1","Sonali K. Shah","","","Sonali K. Shah"
"1","John Rusnak","","","John Rusnak"
"1","George Kuk","","","George Kuk"
"1","Girish Mallapragada","","","Girish Mallapragada"
"1","Evangelos Katsamakas","","","Evangelos Katsamakas"
"1","Andrea Bonaccorsi","","","Andrea Bonaccorsi"
"1","Silvia Giannangeli","","","Silvia Giannangeli"
"1","Cristina Rossi","","","Cristina Rossi"
"1","Utpal M. Dholakia","","","Utpal M. Dholakia"
"1","Hoon-Seok Choi","","","Hoon-Seok Choi"
"1","Pauline Barrieu","","","Pauline Barrieu"
"1","Yan Xiao","","","Yan Xiao"
"1","Martine R. Haas","","","Martine R. Haas"
"1","V. Daniel R. Guide","","","V. Daniel R. Guide"
"1","Wei Wei","","","Wei Wei"
"1","Michael Braun","","","Michael Braun"
"1","Francis X. Diebold","","","Francis X. Diebold"
"1","Guido Baltussen","","","Guido Baltussen"
"1","Pim van Vliet","","","Pim van Vliet"
"1","David Czerwinski","","","David Czerwinski"
"1","Helmut Elsinger","","","Helmut Elsinger"
"1","Martin Summer","","","Martin Summer"
"1","Robert A. Baron","","","Robert A. Baron"
"1","Michael D. Ensley","","","Michael D. Ensley"
"1","Ge Zhang","","","Ge Zhang"
"1","Asaf Levin","","","Asaf Levin"
"1","Marc Scholten","","","Marc Scholten"
"1","Rafael Andrade","","","Rafael Andrade"
"1","Abdel Lisser","","","Abdel Lisser"
"1","Nelson Maculan","","","Nelson Maculan"
"1","Gérard Plateau","","","Gérard Plateau"
"1","Iny Hwang","","","Iny Hwang"
"1","Yanfeng Ouyang","","","Yanfeng Ouyang"
"1","Carlos Daganzo","","","Carlos Daganzo"
"1","Sean Xu","","","Sean Xu"
"1","Alex Stomper","","","Alex Stomper"
"1","Andreas Ernst","","","Andreas Ernst"
"1","Houyuan Jiang","","","Houyuan Jiang"
"1","Mohan Krishnamoorthy","","","Mohan Krishnamoorthy"
"1","Justin J. P. Jansen","","","Justin J. P. Jansen"
"1","Frans A. J. Van Den Bosch","","","Frans A. J. Van Den Bosch"
"1","Henk W. Volberda","","","Henk W. Volberda"
"1","Govert Vroom","","","Govert Vroom"
"1","Ann Vereecke","","","Ann Vereecke"
"1","Gal Raz","","","Gal Raz"
"1","Bariş Ata","","","Bariş Ata"
"1","Shiri Shneorson","","","Shiri Shneorson"
"1","Raaj Sah","","","Raaj Sah"
"1","Katherine N. Lemon","","","Katherine N. Lemon"
"1","Matthew D. Bramlett","","","Matthew D. Bramlett"
"1","Lihui Lin","","","Lihui Lin"
"1","Eocman Lee","","","Eocman Lee"
"1","Rajiv Sabherwal","","","Rajiv Sabherwal"
"1","Anand Jeyaraj","","","Anand Jeyaraj"
"1","Charles Chowa","","","Charles Chowa"
"1","Ashutosh Patil","","","Ashutosh Patil"
"1","Chester Chambers","","","Chester Chambers"
"1","Pierre L’Ecuyer","","","Pierre L’Ecuyer"
"1","Dilip Madan","","","Dilip Madan"
"1","Jack A. Goncalo","","","Jack A. Goncalo"
"1","Raji Srinivasan","","","Raji Srinivasan"
"1","Gigi Y. Yuen","","","Gigi Y. Yuen"
"1","Bruce C. Hartman","","","Bruce C. Hartman"
"1","Roland Geyer","","","Roland Geyer"
"1","Syam Menon","","","Syam Menon"
"1","Béatrice Rey","","","Béatrice Rey"
"1","Mariano Luque","","","Mariano Luque"
"1","Rafael Caballero","","","Rafael Caballero"
"1","Julian Molina","","","Julian Molina"
"1","Francisco Ruiz","","","Francisco Ruiz"
"1","Walter Briec","","","Walter Briec"
"1","Kristiaan Kerstens","","","Kristiaan Kerstens"
"1","Ornit Raz","","","Ornit Raz"
"1","Peter A. Gloor","","","Peter A. Gloor"
"1","Glenn Hoetker","","","Glenn Hoetker"
"1","Anand Swaminathan","","","Anand Swaminathan"
"1","Didem Demirhan","","","Didem Demirhan"
"1","Ehsan Elahi","","","Ehsan Elahi"
"1","Mustafa Çagri Gürbüz","","","Mustafa Çagri Gürbüz"
"1","Shie Mannor","","","Shie Mannor"
"1","Jin Gyo Kim","","","Jin Gyo Kim"
"1","Ulrich Menzefricke","","","Ulrich Menzefricke"
